bioguide,thomas,govtrack,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
H001061,'02079',412494,SenJohnHoeven,SenatorJohnHoeven,UC1kQIC2Q_Fq9_NRqdb6eHiw,382791093,senatorjohnhoevennd,senjohnhoeven,1237544252
H001058,'02028',412437,RepHuizenga,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg,233949261,RepHuizenga,RepHuizenga,
H001056,'02071',412486,HerreraBeutler,herrerabeutler,UCJEgiA9clfx0amrQUj0aBTQ,242926427,RepHerreraBeutler,herrerabeutler,
H001053,'02032',412444,RepHartzler,Congresswoman.Hartzler,UCAvttUz6qBVEJiFt7p_MZxw,237763317,repvickyhartzler,rephartzler,787899303
H001047,'01913',412282,JAHimes,CongressmanJimHimes,UCCeB6czh6nhCHxOMCk_V4yA,31611298,congressmanhimes,,
H001046,'01937',412281,MartinHeinrich,MartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg,1099199839,SenMartinHeinrich,senatormartinheinrich,285288987
H001042,'01844',412200,MazieHirono,senatorhirono,UCcoKhxad156flzPYJ8JMFOA,92186819,CongresswomanHirono,maziehirono,304094084
H001038,'01794',400641,RepBrianHiggins,RepBrianHiggins,UCSGbv85HaaYYOrPGePtxwag,33576489,CongressmanHiggins,repbrianhiggins,
H000874,'00566',400189,LeaderHoyer,WhipHoyer,UCvxgqX65cdhHNjJn64cgY9g,22012091,LeaderHoyer,repstenyhoyer,51616645
H000324,'00511',400170,RepHastingsFL,'95696782238',UCaXXiR3YjMuPIlIGRGNnm8A,2433737761,RepAlceeHastings,,
G000568,'02070',412485,RepMGriffith,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA,234057152,RepMorganGriffith,hmorgangriffith,
G000565,'01992',412397,RepGosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw,240760644,repgosar,REPGOSAR,
G000563,'02049',412463,RepBobGibbs,RepBobGibbs,UC4J-kVbeE32Up-b_wTLEUmA,234822928,RepBobGibbs,repbobgibbs,
G000562,'01998',412406,SenCoryGardner,SenCoryGardner,UC7Vi5vAFb7piu_BNwrYDBxQ,235217558,,sencorygardner,1643152643
G000559,'01973',412382,RepGaramendi,repgaramendi,UCRym1qsO72C39gX6pBu4icg,88806753,garamendiCA10,repgaramendi,
G000553,'01803',400653,RepAlGreen,repalgreen,UCFtgMZm1YUXaZ8OtOj-GDjA,156333623,RepAlGreen,repalgreen,
G000552,'01801',400651,RepLouieGohmert,'50375006903',UC0HMa6X3iMhMq96kkRLLTog,22055226,GohmertTX01,,
G000551,'01708',400162,RepraulGrijalva,Rep.Grijalva,UC8JZLnXS21bhNbcvpoM8O7g,28602948,raulgrijalvaaz07,,
G000386,'00457',300048,ChuckGrassley,grassley,UCiCPRkcLMInpDeOqGkMTt4w,10615232,senchuckgrassley,senatorchuckgrassley,
G000377,'01487',400157,RepKayGranger,RepKayGranger,UCsRMtemAkyLh78MPES6gMVQ,161743731,RepKayGranger,repkaygranger,
G000359,'00452',300047,GrahamBlog,USSenatorLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,14845376,USSenLindseyGraham,,
F000461,'02065',412480,RepBillFlores,RepBillFlores,UCA7MgQ_ccBlCqoxV56B6nmA,237312687,RepBillFlores,repbillflores,
F000459,'02061',412476,RepChuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw,235190657,repchuck,,
F000455,'01895',412327,RepMarciaFudge,RepMarciaLFudge,UClmYIIhIcL-WwtBAy1Dhokg,153486399,marcialfudge,repmarciafudge,1395168201
F000450,'01791',400643,VirginiaFoxx,RepVirginiaFoxx,UCggineJcxJn80TRXxdQbx6w,16256269,repvirginiafoxx,repvirginiafoxx,
F000449,'01793',400640,JeffFortenberry,jefffortenberry,UCbWUvw3gQhbFyJzt1Nh6cAA,18805303,JeffFortenberry,,
F000062,'01332',300043,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
E000285,'01542',300041,SenatorEnzi,mikeenzi,UCipEXEDAKVPj_B0cQjaikEA,291756142,senatorenzi,senatorenzi,
E000215,'00355',400124,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ,249348006,RepAnnaEshoo,RepAnnaEshoo,
E000179,'00344',400122,RepEliotEngel,RepEliotLEngel,UCZ-ctBF-a6CYPJWDoBV_JyA,164007407,engel2161,,
D000616,'02062',412477,DesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,235312723,ScottDesJarlaisTN04,desjarlaistn04,260930821
D000615,'02057',412472,RepJeffDuncan,RepJeffDuncan,UC1tuXL6ymImdpKYGEAH83QA,240393970,congjeffduncan,repjeffduncan,382897929
D000610,'01976',412385,RepTedDeutch,CongressmanTedDeutch,UC1JlTLRUDkzhM2htvI9QJTA,137794015,congressmanteddeutch,repteddeutch,
D000600,'01717',400108,MarioDB,mdiazbalart,UCpEEd0Plxx5D78pI4a4mFTQ,37094727,MarioDiazBalart,repmariodb,316477657
D000563,'00326',300038,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,247334603,SenatorDurbin,,
D000482,'00316',400114,USRepMikeDoyle,usrepmikedoyle,UCni9vINmgerEeVXhKCC9qbA,39249305,CongressmanDoyle,,
D000399,'00303',400111,RepLloydDoggett,lloyddoggett,UCN-kiLKyHPcfRVZ28sAHS_g,153944899,doggett,replloyddoggett,
D000216,'00281',400103,RosaDeLauro,CongresswomanRosaDeLauro,UC9ROfGBm7kSLCEDYwFF6McQ,140519774,rosadelauro,,
D000197,'01479',400101,RepDianaDeGette,DianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew,28599820,RepDianaDeGette,,
D000191,'00279',400100,RepPeterDeFazio,RepPeterDeFazio,UCIF3HunhsVgTv7L2grnq2Rg,252249233,PeterDeFazio,,
C001088,'01984',412390,ChrisCoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,435500714,senatorchriscoons,senatorchriscoons,25194715
C001087,'01989',412400,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,233693291,RepRickCrawford,reprickcrawford,389864684
